local_png	cell	fp	q	stored_bytes	stored_encode_ms	stored_ssim2	stored_zensim	origin_id	variant_name	width	height
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	960923d3d79ac69f	5	1710	320.403	1.775468	12.011064	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	2ef1cdbfc6ed4ed9	15	2225	351.151	21.013776	26.547101	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	ca81cbce092ab599	30	3672	403.672	48.121627	48.882482	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	aea60bd8b885f6c1	50	7251	239.238	71.558878	67.676357	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	3ac419427415e3c7	70	13353	262.051	82.711972	79.747617	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	ba44f7728d9f4c39	85	27220	326.580	89.279477	89.945950	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s6-rgb	735e99b8a75ccd11	95	55260	648.062	94.996900	92.771638	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	8657c728f73693f5	5	1072	237.545	-25.086599	0.578466	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	8c7398c5d1e1093b	15	1391	221.902	-1.888458	9.581121	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	212b132062447cfb	30	2418	265.411	36.177462	39.766996	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	2da456b397b08e13	50	5092	200.588	62.755878	63.807940	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	672916fc5182368d	70	9044	237.688	77.051981	74.137581	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	927bd759e32e27a3	85	17780	298.454	85.631819	83.899248	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s8-noqm	7c02c9cddeb0336b	95	40243	366.334	92.727441	91.406395	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	da3283310b32ad30	5	863	560.576	-15.273726	-17.573085	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	be3a64f006cd07aa	15	1187	628.207	4.995700	-1.899554	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	52f1df4a97307b6a	30	2041	1075.598	37.940414	29.814684	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	5d111e4b7af2f456	50	4214	1039.293	66.341994	63.855336	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	c4ec826d2fb656fc	70	7976	1382.042	80.808362	78.820152	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	72062b4cc0db101e	85	14757	502.951	88.921848	88.400231	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s2	98738a2c02896816	95	26280	548.509	93.956314	91.936171	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	59e9a808df7c8e8a	5	991	348.750	-10.251393	-16.179911	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	f90d48f228c684c0	15	1233	337.083	8.714201	-0.920496	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	ba8d29289cb66a80	30	2114	468.718	39.085218	31.296863	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	b1e45ac1536d541c	50	4407	327.851	66.826445	63.912481	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	3e1331aed438c8ee	70	8273	740.870	81.173295	79.091970	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	f61d00169b21b7e8	85	15128	326.485	89.072779	88.520453	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4	e1974e4bc2185da0	95	26795	357.607	93.910974	91.947965	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	5f993060c3b255dd	5	999	201.976	-10.257640	-12.973042	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	9e70635c32a6dcff	15	1232	362.717	9.316642	-1.104771	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	3327ddb6c30a50bf	30	2129	463.580	38.956052	32.578064	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	3e4fbda1a0d6e4e3	50	4383	573.205	66.937350	63.940997	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	0768633379786a29	70	8366	739.553	81.533515	80.225087	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	1230e6049d2aab27	85	16099	313.888	90.193138	89.123074	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s4-bd10	b3b476df0818fa3f	95	33460	407.872	95.217630	92.255073	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	d09a23cc22854d41	5	1006	121.693	-12.732324	-17.102816	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	05c6e700503950ab	15	1298	114.035	8.077005	-3.903627	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	0f51b4bb79ec626b	30	2114	130.659	36.786114	23.615269	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	e51b7b3bbcda2a43	50	4272	108.325	65.176847	59.765275	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	d75d6e095a487cd9	70	7879	131.544	77.377147	75.501578	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	ce18d71d8d40bdcb	85	13528	152.288	85.311751	84.274090	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-420	3a40b39ec47e2a83	95	22914	177.808	88.125550	86.653867	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	960923d3d79ac69f	5	1675	251.160	2.354347	-2.548345	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	2ef1cdbfc6ed4ed9	15	2160	233.911	17.145167	11.661697	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	ca81cbce092ab599	30	3495	180.154	46.502950	38.651472	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	aea60bd8b885f6c1	50	7050	258.887	70.930141	64.678137	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	3ac419427415e3c7	70	13040	282.520	83.993078	82.220315	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	ba44f7728d9f4c39	85	22711	318.959	91.339721	90.761961	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s6-rgb	735e99b8a75ccd11	95	38967	355.763	95.442130	92.999706	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	8657c728f73693f5	5	1009	146.535	-13.704766	-18.590636	1544	o_1544.png.scale192x256	192	256
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1544.png.scale192x256.png	s8-noqm	8c7398c5d1e1093b	15	1331	143.966	9.536689	-2.789591	1544	o_1544.png.scale192x256	192	256
